itemId,name,category,rarity,quantity,price,favorDelta,healthDelta,appearanceDelta,temperamentDelta,canSell,canRecycle,isQuestItem,recyclePriceOverride,color,pools,description
embroidered-sachet,缠枝香囊,gift,green,2,70,5,0,0,0,true,true,false,,green,,绣样秀雅，最适合日常探望时送作人情。
embroidered-sachet,缠枝香囊,gift,green,1,70,5,0,0,0,true,true,false,,green,duniang-always,绿色绣品，最适合日常探望时送作人情。
pine-wind-scroll,松风小幅,gift,blue,1,140,10,0,0,0,true,true,false,,blue,,一卷清雅字画，落款不显，却胜在意趣干净，适合御前奉礼。
imperial-delicacy,御膳珍馐,food,green,1,60,5,20,0,0,true,true,false,,green,,时令珍馐，既能补一补身子，也适合送去做人情。
jade-ointment,玉露花膏,medicine,blue,1,130,10,40,10,0,true,true,false,,blue,duniang-always,蓝色补品，细膏润养，既可示好，也能让气色更好。
candied-hawthorn,山楂糖条,food,green,1,36,2,8,0,0,true,true,false,,green,duniang-always,宫外常见的小食，酸甜醒口，拿来做人情也不显张扬。
cotton-purse,素面荷包,gift,green,1,55,4,0,0,0,true,true,false,,green,duniang-always,外头女眷常用的素面荷包，胜在干净耐看。
mint-balm,薄荷清膏,medicine,green,1,48,3,10,0,0,true,true,false,,green,duniang-always,寻常清膏，涂在太阳穴上可略解昏沉。
cold-incense-pill,冷香丸,rare,red,1,500,20,0,0,100,true,true,true,,red,,稀有香丸，可大幅抬升气韵。
beauty-pellet,驻颜丹,rare,red,1,500,20,0,100,0,true,true,true,,red,,稀有养颜丹药，可显著提升容貌。
osmanthus-milk-custard,桂花酥酪,food,green,1,45,3,12,0,0,true,true,false,,green,kitchen,甜香清润，最适合顺手带回去垫垫胃口。
lotus-seed-soup,莲子银耳羹,food,green,1,58,4,18,0,0,true,true,false,,green,kitchen,清甜温养，宫里人常拿它做一份不失礼数的小心意。
jade-shrimp-dumpling,水晶虾饺,food,blue,1,76,5,16,0,0,true,true,false,,blue,kitchen,皮薄馅鲜，若趁热送去，总显得你待人更周到些。
eight-treasure-duck,八宝鸭,food,blue,1,96,6,24,0,0,true,true,false,,blue,kitchen,膳房压轴的大菜，拿去做人情最体面，也最费银子。
snow-pear-broth,雪梨燕窝盏,food,purple,1,128,8,30,6,0,true,true,false,,purple,kitchen,清润养身，既能补气色，也适合拿去做一份细致人情。
brocade-handkerchief,霁月绣帕,gift,blue,1,130,10,0,0,0,true,true,false,,blue,duniang-always,蓝色绣品，针脚细密，适合拿去做顺水人情。
plum-blossom-scroll,寒梅照雪,gift,blue,1,150,10,0,0,0,true,true,false,,blue,duniang-always,蓝色字画，寒梅一枝，胜在风骨清简，拿到御前也不显俗气。
running-script-copybook,行草小帖,gift,purple,1,260,14,0,0,0,true,true,true,,purple,,紫色字帖，笔意藏锋，懂书法的人看了会多留一眼。
linglong-rouge,玲珑胭脂,gift,green,1,90,6,0,12,0,true,true,false,,green,duniang-always,常见的细盒胭脂，既能自己留用，也适合顺手送礼。
longevity-pill,延寿丹,rare,red,1,500,0,0,0,0,true,true,true,,red,,只在极少数时候现身的丹药，传闻可延寿数载。
chanmeng-incense,缠梦香,rare,red,1,1000,0,0,0,0,true,true,true,,red,,极罕见的暗香，送与目标后，往往会牵出更阴的后果。
hedandinghong,鹤顶红,medicine,red,1,500,0,0,0,0,true,true,true,,red,yeting-poison,剧毒之物，宫斗事务里若真要下手，往往先从它起念。
shexiang,麝香,medicine,purple,1,250,0,0,0,0,true,true,true,,purple,yeting-poison,气味极重，若被人追查起来，痕迹也最难彻底抹净。
yunyandan,陨颜丹,medicine,purple,1,150,0,0,0,0,true,true,true,,purple,yeting-poison,药性阴狠，常被拿来针对容貌与气质。
score-phoenix-return,凤归云阙谱,music-score,red,1,0,0,0,0,0,false,false,true,,red,music-score,红色曲谱，转调繁复，若在宫宴上演成，最易压住满堂杂音。
score-spring-river,春江引谱,music-score,purple,1,0,0,0,0,0,false,false,true,,purple,music-score,紫色曲谱，曲意清润绵长，适合在妙音堂试一试气口与层次。
score-mist-pavilion,烟水长亭谱,music-score,purple,1,0,0,0,0,0,false,false,true,,purple,music-score,紫色曲谱，旋律温缓，最见行腔细腻处的分寸。
score-cinnabar-dream,朱弦入梦谱,music-score,red,1,0,0,0,0,0,false,false,true,,red,music-score,红色曲谱，板眼华丽，最适合做压轴之用。
score-moon-on-paulownia,桐月流辉谱,music-score,purple,1,0,0,0,0,0,false,false,true,,purple,music-score,紫色曲谱，音色冷净，最重收放与留白。
score-vermilion-feathers,丹羽朝仪谱,music-score,red,1,0,0,0,0,0,false,false,true,,red,music-score,红色曲谱，起势明艳，若唱得稳，最容易教人一眼记住。
